A	B	C	TIME
3.11616e+06	1.27007e+08	1.23391e+08	73.3899
2.68514e+06	1.40246e+08	1.37326e+08	82.5259
723310	3.96962e+07	3.90871e+07	22.5823
7.05675e+06	1.68138e+07	1.67409e+07	5.57188
1.85392e+06	6.48851e+07	6.44843e+07	23.7272
8.47596e+06	1.46154e+08	1.44691e+08	52.9271
429038	3.29046e+06	3.2881e+06	1.00619
839117	4.71769e+07	4.63061e+07	26.8709
1.94212e+06	1.43363e+08	1.41149e+08	86.2458
214401	6.58159e+06	6.57287e+06	2.12528
3.09518e+06	9.91804e+07	9.81443e+07	35.6702
1.1692e+06	1.15476e+07	1.15255e+07	6.76578
975087	3.12957e+07	3.12048e+07	19.0816
2.07375e+06	2.05826e+07	2.03367e+07	11.7771
356871	326717	326475	0.092013
587148	2.0272e+07	2.01265e+07	12.4172
2.44595e+06	1.40034e+06	1.39973e+06	0.358997
42710	179644	179468	0.126661
533942	4.8692e+06	4.85447e+06	1.59435
739305	4.17234e+07	4.14788e+07	25.223
2.66912e+06	9.12891e+07	8.98476e+07	33.4573
1.06992e+06	3.91983e+07	3.88876e+07	23.3013
324759	6.86305e+06	6.84955e+06	4.02545
1.97702e+06	3.21163e+06	3.20352e+06	1.01409
233567	1.23835e+07	1.23741e+07	3.77676
497960	3.17434e+06	3.16327e+06	0.942546
32557	1.72869e+06	1.72836e+06	0.944438
1.71336e+06	2.92971e+07	2.92137e+07	17.752
186277	7.46496e+06	7.45903e+06	2.11119
203486	16785.9	16785.7	0.035887
696620	1.27445e+07	1.25877e+07	7.12385
311041	2.12854e+06	2.12532e+06	1.13245
188295	2.04922e+06	2.04505e+06	1.05805
89645	214153	214131	0.050614
1.86702e+06	6.66411e+07	6.605e+07	25.1704
3.27542e+06	1.56172e+08	1.53779e+08	57.4462
2.21487e+06	1.82809e+08	1.8078e+08	65.2562
878945	7.21338e+07	7.16553e+07	45.2307
1.28049e+06	284251	283793	0.076005
1.43138e+06	2.29523e+07	2.26226e+07	8.30199
1.01674e+06	5.47158e+07	5.43903e+07	19.6231
672837	3.9477e+07	3.93416e+07	13.5079
630353	8.21589e+06	8.20795e+06	2.55625
488654	2.43567e+07	2.40892e+07	14.2952
920691	304435	304412	0.071901
5.52606e+06	1.6544e+08	1.6345e+08	102.372
275858	1.45029e+07	1.44665e+07	8.66941
190006	915761	915617	0.517077
427116	2.41929e+07	2.38748e+07	14.1338
1.44327e+06	1.08007e+07	1.07445e+07	3.68038
604472	2.00409e+06	2.00092e+06	0.559335
115177	194724	194249	0.052971
811626	3.18323e+07	3.12478e+07	17.8779
33208	224652	224631	0.056424
734377	1.96338e+06	1.95895e+06	0.644777
2.83328e+06	6.59802e+06	6.58085e+06	2.06002
1.22375e+06	6.96196e+07	6.88322e+07	41.2336
146540	1.44887e+06	1.44707e+06	0.438217
763162	2.1104e+07	2.10639e+07	12.9595
5.17302e+06	1.60655e+08	1.56726e+08	58.134
3.33479e+06	2.21958e+08	2.15857e+08	131.744
1.53119e+06	2.06827e+07	2.02379e+07	7.2818
197690	6.26112e+06	6.24492e+06	3.58026
403029	196782	196363	0.056885
192981	5.76742e+06	5.7381e+06	3.18045
332485	159008	158953	0.041139
203968	182894	182486	0.047926
781040	6.9771e+07	6.76792e+07	39.3355
2.7942e+06	1.58446e+08	1.56176e+08	95.7282
330736	8.78747e+06	8.67199e+06	4.87695
485285	805934	805281	0.428326
828971	3.03344e+07	2.9917e+07	17.5817
1.22434e+06	5.0533e+07	5.00126e+07	29.7101
36972	1.04312e+06	1.04274e+06	0.634021
1.84258e+06	3.82008e+07	3.81249e+07	12.8465
285592	2.16872e+07	2.14122e+07	12.5416
62099	2.01695e+06	2.01257e+06	1.13112
321957	2.00327e+06	2.00039e+06	0.602988
162524	8.81732e+06	8.80573e+06	5.31112
2.33422e+06	1.1119e+07	1.107e+07	3.54286
1.09523e+06	5.79569e+07	5.75949e+07	34.7358
172407	69523.2	69513.3	0.020059
1.69054e+06	2.97051e+07	2.95888e+07	9.76193
3.47653e+06	1.29564e+08	1.26475e+08	49.1705
1.66422e+06	1.52257e+06	1.5012e+06	0.468766
339253	1.04411e+07	1.04055e+07	6.00624
140659	6.74777e+06	6.62608e+06	3.83602
2.27628e+06	1.44023e+07	1.43752e+07	8.63019
1.88702e+06	875803	875183	0.23383
85209	1.93839e+06	1.93737e+06	1.00296
3.29475e+06	2.54845e+08	2.51122e+08	166.461
1.25973e+06	6.62071e+06	6.55152e+06	2.25269
1.99856e+06	3.24418e+07	3.20698e+07	11.3529
880619	2.58394e+07	2.56772e+07	15.2313
3.47558e+06	1.08165e+08	1.07088e+08	38.2069
22340	18708.5	18706.5	0.004544
171232	1.40352e+06	1.40064e+06	0.716077
479064	5.07428e+06	5.05078e+06	1.5699
363478	5.98746e+06	5.9631e+06	3.21387
5.89018e+06	2.15551e+08	2.09189e+08	66.4508
945713	3.83456e+07	3.80886e+07	13.9256
215738	7.90621e+06	7.90134e+06	4.60186
63609	1.37562e+06	1.37522e+06	0.549238
60461	61759.5	61753.3	0.015645
940386	8.27197e+06	8.26219e+06	4.72911
757078	7.19013e+07	7.15317e+07	44.3045
372125	3.36905e+06	3.36527e+06	1.01922
2.01342e+06	1.76394e+07	1.74982e+07	6.09962
914171	1.90589e+07	1.90105e+07	6.4418
2.41046e+06	1.70361e+08	1.6842e+08	61.6742
23089	1.18029e+06	1.17937e+06	0.695112
1.26535e+06	4.5762e+07	4.56167e+07	28.1355
166893	2.12957e+06	2.12253e+06	1.19207
59209	385276	385159	0.100614
974034	2.4306e+06	2.42812e+06	1.27309
53219	1.50268e+06	1.49247e+06	0.908217
738302	3.56855e+06	3.5668e+06	2.03164
1.00527e+06	2.96165e+07	2.93739e+07	10.4366
1.02228e+06	4.09367e+07	4.08e+07	25.1051
1.19974e+06	785629	784860	0.197631
174028	2.39237e+06	2.38837e+06	0.732538
738992	1.2196e+07	1.21858e+07	4.03959
77594	1.29326e+06	1.29097e+06	0.672587
101348	3.05111e+06	3.05001e+06	0.811538
1.75889e+06	1.22762e+08	1.20674e+08	72.7101
98537	624986	624501	0.324723
68310	207034	206749	0.05186
513401	3.67323e+07	3.62135e+07	21.1286
516111	1.11732e+07	1.11188e+07	6.44688
2.21534e+06	1.51231e+07	1.50527e+07	5.12604
567994	4.38056e+07	4.29281e+07	24.8265
118062	1.96801e+06	1.96654e+06	0.523939
